"","Id","Sales"
"1",1,4136.95570300844
"2",24825,4587.33506683017
"3",5993,3505.09495327469
"4",37665,4922.88899246198
"5",18833,3632.76908289568
"6",12841,5168.28378828396
"7",19689,3397.10708519265
"8",857,4235.39153398181
"9",15409,6301.44836461336
"10",38521,5686.86111410205
"11",13697,5123.28426952099
"12",7705,3674.4669432071
"13",39377,6991.03319388921
"14",20545,3914.64224423267
"15",1713,4782.15004782579
"16",16265,4442.49551907612
"17",33385,5713.21933111808
"18",27393,6168.22376150067
"19",2569,5078.88963561289
"20",40233,4919.23233325939
"21",21401,5571.49380637232
"22",35953,4449.9430624583
"23",34241,4212.11985202402
"24",3425,5889.40961385788
"25",22257,3843.65211371318
"26",9417,4984.65652355722
"27",30817,3684.96595848113
"28",10273,4338.05140804767
"29",35097,4322.99855432397
"30",23113,4174.65535435525
"31",4281,4150.72734625303
"32",14553,5819.08002226561
"33",8561,4015.81841816352
"34",29961,3692.45392316779
"35",25681,4906.58410274679
"36",5137,3714.8532841042
"37",23969,4372.17476192018
"38",36809,4803.2984743246
"39",17977,3589.37620354705
"40",26537,5401.15373998452
"41",11985,4731.95522159927
"42",6849,3661.76157843756
"43",17121,4053.50854765981
"44",29105,4022.99596205248
"45",32529,3994.1758109939
"46",11129,4464.07925734193
"47",31673,3630.389110676
"48",28249,4456.3232455384
"49",23970,7542.69049535465
"50",1714,8992.64770068555
"51",24826,8058.86265016963
"52",18834,5447.91781696542
"53",38522,10014.6824321286
"54",5994,5639.8320783593
"55",35954,7489.34776709073
"56",2,7262.93155987295
"57",39378,5390.12964398721
"58",4282,3899.49935350342
"59",29106,5816.26107105951
"60",8562,5782.34140683355
"61",9418,3996.77132949296
"62",25682,8690.14331463042
"63",19690,5226.14102580332
"64",34242,4101.15706034668
"65",16266,4326.55050636309
"66",22258,3661.51008519359
"67",26538,10041.2713865555
"68",20546,5164.74046755718
"69",10274,3981.12093562313
"70",30818,5748.58662409932
"71",37666,8284.1073715261
"72",33386,4694.18266591306
"73",14554,11465.4575796058
"74",858,7891.3485012168
"75",21402,4472.92383578229
"76",2570,9690.3815682387
"77",11130,7321.49529496822
"78",5138,5611.06073523032
"79",40234,4654.10931416557
"80",32530,5989.20398588251
"81",36810,7967.44699080877
"82",11986,7624.89754586209
"83",15410,4832.47155155951
"84",35098,7373.60045907415
"85",29962,5254.88846589463
"86",23114,7143.88634659463
"87",17978,5495.81008145141
"88",31674,5806.93165899759
"89",28250,3808.51581597759
"90",6850,5764.96639604358
"91",13698,8871.10819983819
"92",27394,4686.77348805593
"93",7706,5876.37453037963
"94",17122,6217.6532758623
"95",12842,8028.31311398958
"96",3426,4515.13128299393
"97",4283,6262.3457589112
"98",23971,10576.5995845429
"99",24827,10840.6148148184
"100",1715,11182.9939343095
"101",8563,9137.6666712752
"102",5995,8018.00528608193
"103",29107,10209.0979773199
"104",38523,15284.5555819892
"105",34243,7443.02409698354
"106",22259,6813.75347140307
"107",35955,10669.2947022915
"108",3,8991.73000735046
"109",20547,9616.1457053633
"110",39379,5646.46353788125
"111",16267,7760.09461690864
"112",26539,14750.3461571862
"113",23115,10722.5764663622
"114",18835,9055.27104981702
"115",25683,12239.7303490673
