Id,Sales
1,4867.40465591573
2,7845.88087693243
3,8985.11008769308
4,7197.13040957791
5,7410.51383689539
6,5901.68340615888
7,8191.49671184965
8,8317.53127728415
9,5577.26149456676
10,6212.16605419199
11,7772.87897797433
12,8056.9713227442
13,7307.67785893357
14,9127.14438569497
15,6228.94865132124
16,5014.75326471417
17,6047.06274587852
18,9686.68051376683
19,11827.9010473956
20,10231.9518303375
21,7452.85477350295
22,5754.24584493384
23,6911.031053526
24,4894.40512389248
25,8450.53451899403
26,11582.5751714863
27,9674.21484206381
28,6230.62800134909
29,5473.87798037144
30,4859.51571636382
31,6261.22317745826
32,11022.388578555
33,7269.54816444496
34,5858.4683992299
35,5954.75834688407
36,7605.45598890165
37,4251.22154686562
38,7657.74527978449
39,4589.52842383413
40,7854.17863020326
41,8085.56128304522
42,6398.91274562719
43,7919.60777136697
44,7640.22867868537
45,5150.60333075124
46,7166.55335309432
47,7962.74709100772
48,11885.653903287
49,6635.16679444543
50,8710.96337825984
51,6915.0481271413
52,9542.13660745879
53,7158.04821083475
54,10051.208572232
55,5101.45467238801
56,5809.0861509436
57,6335.42095570206
58,6912.05963475817
59,9197.78342855231
60,8358.63127312376
61,5801.56438108638
62,7971.55489037505
63,6806.19892062748
64,10738.1991298914
65,4302.01552899969
66,12078.2551476238
67,5175.85502323229
68,6142.81333166064
69,8644.32218635738
70,5794.06865385125
71,6788.23356508574
72,6987.17989330046
73,8366.89361276976
74,5779.67080093089
75,5617.55193493604
76,7890.84519249342
77,8064.6698725722
78,7378.99383154949
79,5303.74897038238
80,7458.47789310954
81,10152.3594415435
82,7280.3195753995
83,5493.2562834791
84,7636.46426293368
85,6228.64598198974
86,7095.46522822735
87,7749.4596600476
88,4484.03802584984
89,7970.02602131215
90,6990.02542419602
91,7589.20982651779
92,6810.96399015156
93,4514.27492457205
94,6477.79853677521
95,5896.32017545907
96,8173.22818114716
97,9350.07997280727
98,5443.43146218356
99,5623.53268636333
100,7428.55506015021
101,6321.28029553464
102,5946.05598252102
103,8121.81987659176
104,7017.73423928306
105,8130.61323722326
106,6212.90295859916
107,5020.58915663776
108,7030.68553526555
109,9099.12111585714
110,8925.76390181106
111,8576.84686679909
112,8471.23770526913
113,6338.98357311907
114,8911.02220519769
115,6146.01087313784
116,8025.36392641364
117,9409.46324233372
118,7176.18686968371
119,10125.364864714
120,8368.57095878352
121,8530.78071168172
122,6926.54368457324
123,7808.4025434998
124,8546.38856879124
125,6914.04499618304
126,4391.51946889938
127,5660.95220857898
128,8185.64026649208
129,6867.11479145702
130,5225.3371104115
131,8313.80293883447
132,6917.0402453944
133,5872.26319710509
134,6069.79187030276
135,6102.71104584913
136,7656.17577918536
137,8019.15270466124
138,7784.97062362142
139,5770.3708478999
140,5062.02124361479
141,7084.37416915199
142,4098.98099817231
143,7049.30779235762
144,5414.751762758
145,9163.31025596646
146,7452.01649664627
147,6759.04407974882
148,10952.8080818841
149,5594.87082698803
150,5242.14018735645
151,11142.5364743572
152,7296.56163073892
153,8591.10088902727
154,7870.07692135332
155,5921.53186936325
156,6822.7588612084
157,5717.89115649321
158,8500.38994149706
159,11005.2091287629
160,6560.04317045501
161,3457.44055543368
162,5572.32255879082
163,8987.26088673995
164,9300.29035779928
165,6964.11727330633
166,7633.19429200445
167,5355.31470126994
168,5723.36442305206
169,3504.47465576209
170,5544.35969272044
171,6896.21365181676
172,7384.03345047938
173,7407.95821637129
174,6773.64858433801
175,8605.75051607303
176,9395.42642337179
177,7756.93432175314
178,5725.41192584711
179,9449.74588210255
180,10789.8316397637
181,6709.43626719063
182,8166.51204395537
183,6420.95577493815
184,6799.40714442044
185,4528.49238344794
186,7967.59495545532
187,5559.92725785215
188,8516.10793056497
189,7980.40700429609
190,9111.06849288248
191,8502.63684075047
192,6461.09184380218
193,9354.0668518859
194,19104.0977729386
195,11070.0318787083
196,6141.08456388119
197,3157.04798517665
198,7238.83684981964
199,10052.9569734203
200,6063.54462289718
201,12940.5334451349
202,19337.8913441318
203,4200.01565147464
204,5734.32343882845
205,10176.1870816178
206,5227.97159951277
207,9918.36926519461
208,7553.99638409993
209,7966.51298725577
